77	Lass uns etwas versuchen!	3091	Essayons quelque chose !
3546198	Das Geld ist der neue Gott.	3548601	L'argent est le nouveau dieu.
3546738	Du hältst dich mit unwichtigen Details auf.	3546217	Tu t’attardes sur des détails sans importance.
3547592	Ich versuche, Farben wie Worte anzuwenden, die zu Gedichten werden, so wie Noten, die zu Musik werden.	3549396	J'essaie d'employer les couleurs comme les mots qui deviennent poèmes ou les notes qui deviennent musique.
3547592	Ich versuche, Farben wie Worte anzuwenden, die zu Gedichten werden, so wie Noten, die zu Musik werden.	3549397	J'essaie d'employer les couleurs comme les mots qui forment les poèmes ou les notes qui forment la musique.
2139628	Man muss Heu machen, weil die Sonne scheint.	3549395	Il nous faut faire les foins car le soleil brille.
3547598	Je höher die Glocke hängt, desto heller klingt sie.	3549394	Plus haut est suspendue la cloche, plus clair sonne-t-elle.
3548182	Dieses Lied habe ich, glaube ich, schon mal gehört.	3549393	J'ai déjà, je crois, entendu cette chanson.
3548299	Das ist eine faszinierende Frage.	3549392	C'est une question fascinante.
3548311	Ich möchte nur gern wissen, ob du kommst oder nicht.	3549390	J'aimerais encore bien savoir si tu viens ou pas.
3548336	Das Kind fürchtete sich, im Dunkeln alleingelassen zu werden.	3549389	L'enfant avait peur d'être laissé seul dans le noir.
3548896	Meine Familie ist mir wichtiger als meine Karriere.	346980	Je fais passer ma famille avant ma carrière.
3548896	Meine Familie ist mir wichtiger als meine Karriere.	3549387	Ma famille m'est plus chère que ma carrière.
3548897	Wir sind Gärtner.	3549386	Nous sommes jardiniers.
3548902	Ich möchte wissen, wie sie heißt.	889857	J'aimerais connaître son nom.
3548902	Ich möchte wissen, wie sie heißt.	1177951	Je voudrais connaître son nom.
3548918	Eines der größten Geheimnisse des Glücks ist es, mäßig in seinen Wünschen zu sein und zu lieben, was man bereits hat.	3549374	L'un des plus grands secrets du bonheur est d'être mesuré dans ses souhaits et d'aimer ce que l'on a à disposition.
3548918	Eines der größten Geheimnisse des Glücks ist es, mäßig in seinen Wünschen zu sein und zu lieben, was man bereits hat.	3549377	L'un des plus grands secrets du bonheur est d'être mesuré dans ses souhaits et d'aimer ce dont on dispose.
3548928	Diese Fachausdrücke kommen aus dem Griechischen.	3549367	Ces termes techniques proviennent du grec.
3548947	Erzähl mir die Geschichte noch mal!	3549385	Conte-moi à nouveau cette histoire !
3548948	Erzählt mir die Geschichte noch mal!	3549384	Contez-moi à nouveau cette histoire !
3548949	Erzählen Sie mir die Geschichte noch mal!	3549384	Contez-moi à nouveau cette histoire !
3548951	Es macht mir nichts aus zu stehen.	3549356	Ça m'est égal de rester debout.
3548958	Das ist das Medikament, von dem ich dir erzählte.	3549353	C'est le médicament dont je t'ai parlé.
3548965	Das ist das Medikament, von dem ich euch erzählte.	3549352	C'est le médicament dont je vous ai parlé.
3548966	Das ist das Medikament, von dem ich Ihnen erzählte.	3549352	C'est le médicament dont je vous ai parlé.
3548971	Ohne diesen Fehler hätten wir gewonnen.	3549383	Sans cette erreur, nous aurions gagné.
3549284	Es war eine eiskalte Nacht, der Himmel war glasklar.	3549343	C'était par une nuit glacée, le ciel était limpide.
3549376	Er hat das Buch gefunden, das er seit langem suchte.	2638050	Il a trouvé le livre qu'il a longtemps cherché.
3549379	Ich habe meine Fehler korrigiert.	3549381	J'ai corrigé mes fautes.
3549382	Mit wem möchtest du gerne sprechen?	1558652	À qui aimerais-tu parler ?
1489279	Gläubiger haben ein besseres Gedächtnis als Schuldner.	3549488	Les créanciers ont meilleure mémoire que les débiteurs.
3549939	Ich wusste das schon seit langem.	3466476	Je savais cela depuis longtemps déjà.
3550539	Maria hat gesungen.	2931063	Marie a chanté.
3551363	Es gibt viele verschiedene Arten von Schönheit.	3548596	Il y a de nombreuses différentes sortes de beauté.
3551606	Es kam mir wie ein Traum vor.	3601192	Ça me semblait comme un rêve.
3551611	Es war seine Idee. Er hat mich dazu angestiftet.	3601190	C'était son idée. Il m'a entraîné.
2210075	Er wollte ein Buch kaufen.	1807661	Il voulait acheter un livre.
2210075	Er wollte ein Buch kaufen.	1807662	Il voulut acheter un livre.
2210075	Er wollte ein Buch kaufen.	1807663	Il a voulu acheter un livre.
3551997	Es ist erforderlich, dass alle diese Regeln beachten.	1169175	Il est indispensable que tous suivent ces règles.
3552249	Was wollen sie von uns?	3558474	Qu'est-ce qu'ils nous veulent ?
3552249	Was wollen sie von uns?	3559251	Que nous veulent-ils ?
3552249	Was wollen sie von uns?	3559257	Que nous veulent-elles ?
3552252	Warum hast du mich nicht gebeten, dir zu helfen?	3558479	Pourquoi n'as tu pas voulu de mon aide ?
3552793	„Da, ein Eichhörnchen!“ – „Was? Wo denn?“ – „Dort oben auf dem Baum. Siehst du es?“ – „Ja, ich sehe es!“	3552910	« Là, un écureuil ! » « Quoi ? Où ça ? » « Là-haut sur l'arbre. Tu le vois ? » « Oui, je le vois ! »
3552839	Die Natur ist grausam.	3552040	La nature est cruelle.
3553078	Ich werde dir nicht helfen.	3678830	Je ne t'aiderai pas.
3553325	Ich will nach Korea.	1509798	Je veux aller en Corée.
3553406	In Äquatornähe ist das Klima zu jeder Jahreszeit warm und feucht.	3601189	À proximité de l'équateur, le climat est chaud et humide tout au long de l'année.
3553422	Meine Lieblingsfächer auf dem Gymnasium waren Geometrie und Geschichte.	3601188	Mes matières préférées, au Lycée, étaient la géométrie et l'histoire.
3553427	Hat sich das Klima verändert?	3553599	Le climat a-t-il changé ?
3553429	Was hat sich seitdem geändert?	3601186	Qu'est-ce qui a changé depuis ?
3554540	Tom wird nicht erfreut sein, mich zu sehen.	2404890	Tom ne va pas être content de me voir.
3554541	Maria dachte, dass Tom schliefe.	2322390	Marie pensait que Tom dormait.
3555026	Ich fange an, die Geduld zu verlieren.	3346940	Je commence à perdre patience.
3555112	Niemand hat verloren.	376725	Personne n'a perdu.
3555277	Er ist ein empfindsamer Junge.	3349491	C'est un un garçon sensible.
3555282	Das Leben ist eine Schachpartie.	3349506	La vie est une partie d'échecs.
3555328	Wenn ich wüsste, wonach ich suche, würde ich es schneller finden.	3601185	Si je savais ce que je cherche, je le trouverais plus rapidement.
3555337	Er hat kein Rhythmusgefühl.	3350001	Il n'a pas le sens du rythme.
3555361	Ich bereite gerne Essen zu.	3555362	J'adore préparer à manger.
3555364	Ich bin nie irgendwo hingefahren.	3351412	Je ne suis jamais allée nulle part.
3555544	Ich habe den Zaun überstrichen.	3386807	J'ai repeint la clôture.
3555784	Ganz so einfach ist das nicht.	3559402	Ce n'est pas aussi simple que ça.
3555973	Mein Freund und ich wohnen im selben Haus.	3555974	Mon petit ami et moi vivons dans la même maison.
3555979	Das schwarze gehört mir.	1326065	La noire est à moi.
3555986	Wo kann ich Busfahrkarten kaufen?	3555981	Où s’achètent les tickets de bus ?
3556000	Sie werden nicht abwaschen.	2073738	Ils ne feront pas la vaisselle.
3556007	Die Situation ist sehr ernst.	2932352	La situation est très grave.
3556019	Warum bittest du Tom nicht um Hilfe?	3556026	Pourquoi ne demandes-tu pas de l'aide à Tom ?
3556020	Ich surfe gerne im Internet.	3556021	J'aime surfer sur internet.
3556024	Warum hilfst du Tom nicht?	3679590	Pourquoi est-ce que tu n'aides pas Tom ?
3556036	Haben Sie eine englische Speisekarte?	3551536	Avez-vous un menu en anglais ?
3556054	Diese Kleidungsstücke sind bügelleicht.	3556056	Ces vêtements sont faciles à repasser.
3556093	Ich mache die Hausarbeit.	3556094	Je fais le ménage.
3556111	Ich habe meinen Koffer gepackt und den Umzug vorbereitet.	3556116	J'ai fait ma valise, et j'ai préparé mon déménagement.
3556135	Wir haben sehr jung geheiratet.	3556142	Nous nous sommes mariés très jeunes.
3556188	Ich schäle die Kartoffeln und das andere Gemüse.	3556189	J'épluche les pommes de terre et les autres légumes.
3556411	Als Verlobte grüßen: Tom und Maria.	3556869	Bienvenue au couple engagé : Tom et Marie.
3556655	Warum sind denn alle so aufgeregt?	3556868	Pourquoi tout le monde est si excité ?
3556658	Tut mir leid, ich kann dir jetzt nicht helfen. Ich bin beschäftigt.	3556866	Désolé, je ne peux pas vous aider présentement. Je suis occupé.
3556666	Was er erzählt, hat weder Hand noch Fuß.	3556565	Ce qu'il raconte n'a ni queue ni tête.
3556670	Das ist Toms Katze.	3556673	C'est le chat de Tom.
3016568	Abgemacht!	3556659	Ça marche.
3556739	Sie ist gut im Schwimmen.	845564	Elle est bonne en natation.
3556754	Ich lebe in Katar.	3556756	Je vis au Qatar.
3556771	Du hast kein Brot gekauft.	2104402	Tu n'as pas acheté de pain.
3556785	Er hat keine Freunde, die ihn beraten könnten.	132594	Il n'a pas d'amis pour le conseiller.
3557069	Ich arbeite in meinem Büro.	3557070	Je travaille à mon bureau.
3557081	Ich wasche meine Kleidung gewöhnlich in einem Waschsalon.	3557082	Je lave mes vêtements habituellement dans une laverie.
3557105	Du hattest recht, und ich hatte unrecht.	3400904	Tu avais raison et j’avais tort.
3557176	Maria zog sich aus.	2925631	Marie s'est déshabillée.
3557177	Sie zog sich aus.	2925629	Elle s'est déshabillée.
3557178	Tom zog sich aus.	2925627	Tom s'est déshabillé.
3557199	Ich erledige die Hausarbeit.	3556094	Je fais le ménage.
3557212	In Ōsaka angekommen, begab er sich gleich zum Hotel.	1897332	En arrivant à Osaka, il se rendit directement à l'hôtel.
3557216	Die Strassenmeisterei sammelt jeden Morgen den Müll ein.	3557217	La voirie ramasse les ordures tous les matins.
3557225	Ich glaube, dass ich in einem früheren Leben einmal eine Prinzessin war.	3559384	Je pense que j'étais une princesse, dans une vie antérieure.
