77	Lass uns etwas versuchen!	3091	Essayons quelque chose !
12281218	Kongo ist ein Entwicklungsland.	12281213	Le Congo est un pays en développement.
457098	Es stellte sich heraus, dass das Gerücht weder Hand noch Fuß hatte.	12281242	Il s’avéra que la rumeur n’avait ni queue ni tête.
11750333	Tom hat natürlich glattes Haar.	12281266	Tom a les cheveux naturellement lisses.
12281278	Als Tom um halb fünf Uhr morgens aufwachte, wusste er nicht mehr, wo er war.	12281274	Lorsque Tom s'est réveillé à quatre heures et demie du matin, il ne savait plus où il était.
10088510	Ich liebe Tom so sehr!	12281276	Tom, je l'aime tellement !
12281743	Sie ist wegen ihrer Prüfungsergebnisse total am Boden zerstört.	12278342	Elle est dégoûtée de ses résultats aux exams.
12281761	Wer hat das gefunden?	10888119	Qui a trouvé ça ?
12281812	Auf der Welt leben acht Milliarden Menschen.	12281811	Le monde compte huit milliards d'individus.
12281812	Auf der Welt leben acht Milliarden Menschen.	12281815	Sur la terre vivent huit milliards d'individus.
12093395	Tom könnte das machen, wenn er es wollte.	12281961	Tom pourrait faire ça, s'il le voulait.
12281964	Thomas könnte das tun, wenn er es wirklich wollte.	12281963	Thomas pourrait faire ça s'il le voulait vraiment.
12281917	Es gehört zum Wesen des Ideals, dass es sich nicht verwirklichen lässt; seine Rolle besteht darin, dass es sich jenseits der Wirklichkeit erhebt.	12281969	Il est dans la nature de l’idéal qu’il ne se laisse réaliser ; son rôle consiste à s'élever au-delà de la réalité.
12282492	Ich mag dieses und noch eines.	12282490	J'aime celui-ci et un autre.
8861534	Wie unverschämt!	12282499	Quelle insolence !
8861535	Wie unhöflich!	12282501	Comme c'est impoli !
8861535	Wie unhöflich!	12282502	Quelle impolitesse !
12282520	Ich mag dieses und ein anderes.	12282490	J'aime celui-ci et un autre.
12282565	Tom ist verrückt vor Freude.	9391660	Tom est fou de joie.
12282587	Ich bin verrückt vor Freude!	12282586	Je suis fou de joie !
4952518	Tom ist vor drei Wochen aus Boston abgereist.	12282600	Tom a quitté Boston il y a trois semaines.
12282610	Sami ruft die Polizei.	12282609	Sami appelle la police.
12282625	Er lebt in einem Dorf in der Nähe von Amsterdam.	12282626	Il vit dans un village à proximité d'Amsterdam.
12282697	Ich schwöre dir, ich kann mich an nichts erinnern.	12282693	Je te jure, je ne me souviens de rien.
6968663	Ich bringe Ihnen die Rechnung sofort.	12282704	Je vous apporte l'addition immédiatement.
