77	Lass uns etwas versuchen!	3091	Essayons quelque chose !
6634466	Singen wir!	4627990	Chantons !
6634465	Lass uns singen!	4627990	Chantons !
9654499	Wo ist Algerien?	9483302	Où est l'Algérie ?
7852979	Der da ist Programmierer.	9654724	Celui-là, c'est un programmeur.
9654713	Maria und ich kennen uns schon seit vielen Jahren.	9654900	Marie et moi nous connaissons depuis de nombreuses années déjà.
9654500	Werde nicht alt! Es ist nicht gut, alt zu sein.	9654962	Ne vieillis pas ! Ce n’est pas bon d’être vieux.
9654446	Ihr müsst nicht auf mich warten.	9655029	Vous ne devez pas m'attendre.
9654359	Findest du, diese Krawatte passt zu dieser Unterhose?	9655299	Trouves-tu que cette cravate va avec ce caleçon ?
9652451	Aua! Knabbere mir nicht am Ohr!	9655440	Ouille ! Ne me mords pas l'oreille !
5567379	Wir müssen dieses Problem sofort lösen.	9657467	Il nous faut régler ce problème sans tarder.
5027013	Gott schuf die Zeit, aber von Eile hat er nichts gesagt.	9657503	Dieu créa le temps mais, en hâte, il ne dit rien.
3165376	Alles in Ordnung? Stehst du irgendwie unter Stress?	9657545	Tout va-t-il bien ? Te trouves-tu sous pression, de quelque manière ?
9657549	Sie müssen nicht auf mich warten.	9655029	Vous ne devez pas m'attendre.
9657547	Du musst nicht auf mich warten.	9657725	Tu ne dois pas m'attendre.
9656118	Sie hat zwei Kaffees getrunken und fünf Zigaretten geraucht, aber noch nichts gearbeitet.	9657789	Elle a bu deux cafés et fumé cinq cigarettes, mais n'a pas encore travaillé.
812123	Ist jemand im Zimmer?	1688106	Y a-t-il quelqu'un dans la pièce ?
9662781	Heute geht Tom angeln.	9662780	Aujourd'hui, Tom va à la pêche.
9662781	Heute geht Tom angeln.	9662784	Aujourd'hui, Tom va pêcher.
9662821	Gestern Morgen hat Tom zehn Forellen geangelt.	9662800	Tom a pêché dix truites hier matin.
9651010	Tom ist gestern mit uns angeln gegangen.	9662826	Tom est allé pêcher avec nous hier.
9651004	Es war schön, euch beide kennenzulernen!	9662829	C'était un plaisir de vous rencontrer tous les deux !
9650962	Tom konnte Maria davon abhalten.	9662839	Tom pourrait empêcher Marie de le faire.
9662961	Tom sucht ein möbliertes Zimmer in Zentrumsnähe.	9662953	Tom recherche une chambre meublée proche du centre.
9662996	Am späten Vormittag gehe ich angeln.	9662995	Je vais à la pêche en fin de matinée.
9663043	Du bist nicht arm wie ich.	9663048	Tu n’es pas pauvre comme moi.
9663051	Sie sind nicht arm wie ich.	9663049	Vous n’êtes pas pauvre comme moi.
9663053	Ihr seid nicht arm wie ich.	9663049	Vous n’êtes pas pauvre comme moi.
9663527	Oberhof ist wirklich die Hauptstadt des Biathlon.	9663523	Oberhof est vraiment la capitale du biathlon.
9663587	Ich bin eine Löwin.	9663584	Je suis une lionne.
9663624	Ich erzähle dir alles, wenn ich wiederkomme.	9663645	Je te raconterai tout à mon retour.
9663650	Das kann doch kein Zufall sein!	9663648	Ça ne peut pas être une coïncidence !
9663665	Als Tom und Maria sich getroffen haben, war das nur ein Zufall.	9663663	Quand Tom et Marie se sont rencontrés, ce n'était qu'une coïncidence.
9663628	Das ist ein Stadtplan von Boston.	9663749	C'est un plan de la ville de Boston.
9663629	Wir sollen die Rechnung sofort bezahlen.	9663753	Nous devons payer la facture tout de suite.
9664083	Was ist die Rasse deines Hundes?	9663686	Quelle est la race de ton chien ?
