id	fr	de	file_name
501	Il ne me comprend pas.	Er versteht mich nicht.	a1_18
502	Elle nous appelle.	Sie ruft uns an.	a1_18
503	Voici mon livre.	Das ist mein Buch.	a1_19
504	Voici votre stylo.	Das ist dein Stift.	a1_19
505	Voici sa voiture.	Das ist sein Auto.	a1_19
506	Voici leur maison.	Das ist ihr Haus.	a1_19
507	Voici notre chien.	Das ist unser Hund.	a1_19
508	Voici votre professeur.	Das ist euer Lehrer.	a1_19
509	Voici leur école.	Das ist ihre Schule.	a1_19
510	J'aime ma famille.	Ich liebe meine Familie.	a1_19
511	Il rend visite à ses parents.	Er besucht seine Eltern.	a1_19
512	Elle achète son billet.	Sie kauft ihr Ticket.	a1_19
513	Nous faisons nos devoirs.	Wir machen unsere Hausaufgaben.	a1_19
514	Tu manges ton pain.	Ihr esst euer Brot.	a1_19
515	Ils écrivent leurs noms.	Sie schreiben ihre Namen.	a1_19
516	Mon frère est grand.	Mein Bruder ist groß.	a1_19
517	Ta sœur est gentille.	Deine Schwester ist nett.	a1_19
518	Son père travaille beaucoup.	Sein Vater arbeitet viel.	a1_19
519	Sa mère est enseignante.	Ihre Mutter ist Lehrerin.	a1_19
520	Notre maison est petite mais confortable.	Unser Haus ist klein aber gemütlich.	a1_19
521	Votre voiture est neuve.	Euer Auto ist neu.	a1_19
522	Votre professeur parle clairement et distinctement.	Ihr Lehrer spricht klar und deutlich.	a1_19
523	J'oublie souvent mes clés.	Ich vergesse meinen Schlüssel oft.	a1_19
524	Il cherche son sac à dos.	Er sucht seinen Rucksack.	a1_19
525	Elle ne trouve pas son sac.	Sie findet ihre Tasche nicht.	a1_19
526	Nous avons besoin de notre ordinateur.	Wir brauchen unseren Computer.	a1_19
527	Avez-vous apporté vos livres ?	Habt ihr eure Bücher dabei?	a1_19
528	Ce n'est pas mon manteau, c'est le sien.	Das ist nicht mein Mantel, das ist seiner.	a1_19
529	Je prendrai ma veste.	Ich nehme meine Jacke.	a1_19
530	C'est ton vélo ou le sien ?	Ist das dein Fahrrad oder seins?	a1_19
531	Je viendrai demain.	Ich werde morgen kommen.	a1_20
532	Vous comprendrez.	Du wirst es verstehen.	a1_20
533	Il deviendra médecin.	Er wird Arzt werden.	a1_20
534	Elle deviendra enseignante.	Sie wird Lehrerin werden.	a1_20
535	Nous apprendrons ensemble.	Wir werden zusammen lernen.	a1_20
536	Tu vas y arriver.	Ihr werdet es schaffen.	a1_20
537	Ils vont gagner.	Sie werden gewinnen.	a1_20
538	Il pleuvra demain.	Morgen wird es regnen.	a1_20
539	La semaine prochaine, j'irai à Berlin.	Nächste Woche werde ich nach Berlin fahren.	a1_20
540	Il sera bientôt de retour à la maison.	Er wird bald nach Hause kommen.	a1_20
541	Que ferez-vous?	Was wirst du machen?	a1_20
542	Je vais apprendre l'allemand.	Ich werde Deutsch lernen.	a1_20
543	Nous allons acheter une maison.	Wir werden ein Haus kaufen.	a1_20
544	Elle partira en voyage.	Sie wird eine Reise machen.	a1_20
545	Il va faire froid.	Es wird kalt werden.	a1_20
546	Vous serez fatigué.	Du wirst müde sein.	a1_20
547	Il lira le livre.	Er wird das Buch lesen.	a1_20
548	Nous voyagerons cet été.	Wir werden im Sommer reisen.	a1_20
549	Je ne l'oublierai pas.	Ich werde es nicht vergessen.	a1_20
550	Ils seront à l'heure.	Sie werden pünktlich sein.	a1_20
