id	fr	de	file_name
451	J'ai cent euros.	Ich habe hundert Euro.	a1_17
452	Il est huit heures.	Es ist acht Uhr.	a1_17
453	Le train arrive à neuf heures et demie.	Der Zug kommt um neun Uhr dreißig.	a1_17
454	Je me lève à sept heures.	Ich stehe um sieben Uhr auf.	a1_17
455	Les cours commencent à 8h15.	Die Schule beginnt um acht Uhr fünfzehn.	a1_17
456	Je déjeune à midi.	Ich esse um zwölf Uhr zu Mittag.	a1_17
457	C'est lundi aujourd'hui.	Heute ist Montag.	a1_17
458	Demain, c'est mardi.	Morgen ist Dienstag.	a1_17
459	Je travaille du lundi au vendredi.	Ich arbeite von Montag bis Freitag.	a1_17
460	Je fais la grasse matinée le samedi.	Am Samstag schlafe ich lange.	a1_17
461	Je vais faire une promenade dimanche.	Am Sonntag gehe ich spazieren.	a1_17
462	Aujourd'hui, nous sommes le 1er janvier.	Heute ist der erste Januar.	a1_17
463	Mon anniversaire est le 15 mars.	Mein Geburtstag ist am fünfzehnten März.	a1_17
464	Nous sommes en mai.	Wir haben jetzt Mai.	a1_17
465	L'année compte douze mois.	Das Jahr hat zwölf Monate.	a1_17
466	La semaine compte sept jours.	Die Woche hat sieben Tage.	a1_17
467	Il est trois heures et quart.	Es ist Viertel nach drei.	a1_17
468	Il est cinq heures et demie.	Es ist halb sechs.	a1_17
469	Il est vingt heures moins huit.	Es ist zwanzig vor acht.	a1_17
470	La classe compte trente élèves.	Es sind dreißig Schüler in der Klasse.	a1_17
471	L'avion décolle à deux heures.	Das Flugzeug startet um vierzehn Uhr.	a1_17
472	Il me faut cinquante centimes.	Ich brauche fünfzig Cent.	a1_17
473	Le concert commence à 19h30.	Das Konzert beginnt um neunzehn Uhr dreißig.	a1_17
474	Nous nous rencontrerons le 3 octobre.	Wir treffen uns am dritten Oktober.	a1_17
475	Est-ce que tu me connais?	Kennst du mich?	a1_18
476	Oui, je te connais.	Ja, ich kenne dich.	a1_18
477	Il me voit tous les jours.	Er sieht mich jeden Tag.	a1_18
478	Je le vois aussi.	Ich sehe ihn auch.	a1_18
479	Elle l'aime.	Sie liebt ihn.	a1_18
480	Il l'aime.	Er liebt sie.	a1_18
481	Je t'appellerai.	Ich rufe dich an.	a1_18
482	Tu ne m'appelles pas.	Du rufst mich nicht an.	a1_18
483	Il vient nous rendre visite demain.	Er besucht uns morgen.	a1_18
484	Nous viendrons vous voir la semaine prochaine.	Wir besuchen euch nächste Woche.	a1_18
485	Vous la connaissez ? L'institutrice ?	Kennst du sie? Die Lehrerin?	a1_18
486	Oui, je la connais bien.	Ja, ich kenne sie gut.	a1_18
487	Avez-vous le livre ? J'en ai besoin.	Hast du das Buch? Ich brauche es.	a1_18
488	Je l'ai. Le voici.	Ich habe es. Hier ist es.	a1_18
489	Pouvez-vous nous voir ?	Siehst du uns?	a1_18
490	Oui, je te vois.	Ja, ich sehe euch.	a1_18
491	Il me demande son chemin.	Er fragt mich nach dem Weg.	a1_18
492	Je lui demande son adresse.	Ich frage ihn nach seiner Adresse.	a1_18
493	Elle ne nous connaît pas.	Sie kennt uns nicht.	a1_18
494	Nous ne les connaissons pas non plus.	Wir kennen sie auch nicht.	a1_18
495	L'enfant l'aime bien.	Das Kind mag ihn.	a1_18
496	Il aime ça aussi.	Er mag es auch.	a1_18
497	Pouvez-vous m'aider?	Kannst du mir helfen?	a1_18
498	Je suis heureux de vous aider.	Ich helfe dir gerne.	a1_18
499	Tu nous manques.	Wir vermissen euch.	a1_18
500	Je te verrai demain.	Ich sehe dich morgen.	a1_18
