id	fr	de	file_name
151	Elle a beaucoup de livres.	Sie hat viele Bücher.	a1_06
152	Nous avons un chien.	Wir haben einen Hund.	a1_06
153	Tu as faim.	Ihr habt Hunger.	a1_06
154	Vous avez le temps.	Sie haben Zeit.	a1_06
155	J'ai 25 ans.	Ich bin 25 Jahre alt.	a1_06
156	Tu es jeune.	Du bist jung.	a1_06
157	Il est grand et mince.	Er ist groß und schlank.	a1_06
158	Elle est très gentille.	Sie ist sehr nett.	a1_06
159	Nous sommes heureux aujourd'hui.	Wir sind heute glücklich.	a1_06
160	Je n'ai pas le temps.	Ich habe keine Zeit.	a1_06
161	Tu as raison.	Du hast Recht.	a1_06
162	Il a peur des araignées.	Er hat Angst vor Spinnen.	a1_06
163	Nous avons soif.	Wir haben Durst.	a1_06
164	Vous avez un grand appartement.	Ihr habt eine große Wohnung.	a1_06
165	Il fait beau.	Das Wetter ist schön.	a1_06
166	Avez-vous un instant ?	Haben Sie einen Moment Zeit?	a1_06
167	Je suis prêt.	Ich bin bereit.	a1_06
168	Je vais au parc aujourd'hui.	Ich gehe heute in den Park.	a1_07
169	Aujourd'hui, je vais au parc.	Heute gehe ich in den Park.	a1_07
170	Il boit du café le matin.	Er trinkt morgens Kaffee.	a1_07
171	Il boit du café le matin.	Morgens trinkt er Kaffee.	a1_07
172	Nous partons pour Berlin samedi.	Wir fahren am Samstag nach Berlin.	a1_07
173	Nous partons pour Berlin samedi.	Am Samstag fahren wir nach Berlin.	a1_07
174	Elle apprend l'allemand le soir.	Sie lernt abends Deutsch.	a1_07
175	Elle apprend l'allemand le soir.	Abends lernt sie Deutsch.	a1_07
176	L'enfant joue dans le jardin.	Das Kind spielt im Garten.	a1_07
177	L'enfant joue dans le jardin.	Im Garten spielt das Kind.	a1_07
178	Je mange toujours un repas chaud à midi.	Ich esse mittags immer warm.	a1_07
179	Je mange toujours un repas chaud à midi.	Mittags esse ich immer warm.	a1_07
180	Il arrivera à trois heures.	Er kommt um drei Uhr.	a1_07
181	Il arrivera à trois heures.	Um drei Uhr kommt er.	a1_07
182	On se retrouve au café.	Wir treffen uns im Café.	a1_07
183	On se retrouve au café.	Im Café treffen wir uns.	a1_07
184	J'aime lire des livres.	Ich lese gerne Bücher.	a1_07
185	J'aime lire des livres.	Gerne lese ich Bücher.	a1_07
186	Il fait toujours la grasse matinée.	Er schläft immer lange.	a1_07
187	Il fait toujours la grasse matinée.	Immer schläft er lange.	a1_07
188	Nous allons souvent nous promener.	Wir gehen oft spazieren.	a1_07
189	Nous allons souvent nous promener.	Oft gehen wir spazieren.	a1_07
190	Malheureusement, je ne pourrai pas venir.	Leider komme ich nicht.	a1_07
191	Je cuisine pour toi ce soir.	Heute Abend koche ich für dich.	a1_07
192	Parfois, il ne prend pas de petit-déjeuner.	Manchmal isst er kein Frühstück.	a1_07
193	Néanmoins, il va à l'école.	Trotzdem geht er zur Schule.	a1_07
194	Je ne suis pas fatigué.	Ich bin nicht müde.	a1_08
195	Il n'est pas chez lui.	Er ist nicht zu Hause.	a1_08
196	Elle ne viendra pas aujourd'hui.	Sie kommt heute nicht.	a1_08
197	Ce n'est pas correct.	Das ist nicht richtig.	a1_08
198	Je n'aime pas lire.	Ich lese nicht gerne.	a1_08
199	Vous n'êtes pas endormi.	Du schläfst nicht.	a1_08
200	Nous n'y allons pas aujourd'hui.	Wir fahren heute nicht.	a1_08
