id	fr	de	file_name
201	Il ne fait pas beau.	Das Wetter ist nicht schön.	a1_08
202	Je n'ai pas de voiture.	Ich habe kein Auto.	a1_08
203	Vous n'avez pas le temps.	Du hast keine Zeit.	a1_08
204	Il n'a pas faim.	Er hat keinen Hunger.	a1_08
205	Elle n'a pas d'argent.	Sie hat kein Geld.	a1_08
206	Nous n'avons pas de chat.	Wir haben keine Katze.	a1_08
207	Vous n'avez pas de café.	Ihr habt keinen Kaffee.	a1_08
208	Ils n'en ont aucune idée.	Sie haben keine Idee.	a1_08
209	Ce n'est pas un problème.	Das ist kein Problem.	a1_08
210	Il ne parle pas fort.	Er spricht nicht laut.	a1_08
211	Elle n'a pas de livre avec elle.	Sie hat kein Buch dabei.	a1_08
212	Le restaurant est fermé.	Das Restaurant ist nicht offen.	a1_08
213	Je ne le connais pas.	Ich kenne ihn nicht.	a1_08
214	Vous n'avez pas besoin de dictionnaire.	Du brauchst kein Wörterbuch.	a1_08
215	Il ne conduit pas vite.	Er fährt nicht schnell.	a1_08
216	Ce n'est pas une bonne idée.	Das ist keine gute Idee.	a1_08
217	Nous n'avons plus d'eau.	Wir haben kein Wasser mehr.	a1_08
218	Je ne comprends pas.	Ich verstehe das nicht.	a1_08
219	Il ne viendra pas, il est malade.	Er kommt nicht, er ist krank.	a1_08
220	L'enfant ne pleure pas.	Das Kind weint nicht.	a1_08
221	Elle n'est pas encore endormie.	Sie schläft noch nicht.	a1_08
222	Tu viens aujourd'hui ?	Kommst du heute?	a1_09
223	Oui, je viens aujourd'hui.	Ja, ich komme heute.	a1_09
224	Avez-vous le temps ?	Hast du Zeit?	a1_09
225	Non, je n'ai pas le temps.	Nein, ich habe keine Zeit.	a1_09
226	Est-il chez lui ?	Ist er zu Hause?	a1_09
227	Oui, il est chez lui.	Ja, er ist zu Hause.	a1_09
228	Parlez-vous allemand ?	Sprichst du Deutsch?	a1_09
229	Oui, je parle un peu allemand.	Ja, ich spreche ein bisschen Deutsch.	a1_09
230	Avez-vous faim?	Habt ihr Hunger?	a1_09
231	Oui, nous avons faim.	Ja, wir haben Hunger.	a1_09
232	Qui es-tu?	Wer bist du?	a1_09
233	Je m'appelle Maria.	Ich heiße Maria.	a1_09
234	Que fais-tu?	Was machst du?	a1_09
235	J'apprends l'allemand.	Ich lerne Deutsch.	a1_09
236	Où  habites-tu?	Wo wohnst du?	a1_09
237	J'habite à Munich.	Ich wohne in München.	a1_09
238	Quand arrives-tu ?	Wann kommst du?	a1_09
239	J'arriverai à trois heures.	Ich komme um drei Uhr.	a1_09
240	Quel est ton nom?	Wie heißt du?	a1_09
241	Je m'appelle Thomas.	Ich heiße Thomas.	a1_09
242	Pourquoi apprenez-vous l'allemand ?	Warum lernst du Deutsch?	a1_09
243	Parce que je veux visiter l'Allemagne.	Weil ich Deutschland besuchen möchte.	a1_09
244	Combien ça coûte ?	Wie viel kostet das?	a1_09
245	Cela coûte cinq euros.	Das kostet fünf Euro.	a1_09
246	D'où viens-tu?	Woher kommst du?	a1_09
247	Je viens de France.	Ich komme aus Frankreich.	a1_09
248	Où vas-tu?	Wohin gehst du?	a1_09
249	Je vais au supermarché.	Ich gehe in den Supermarkt.	a1_09
250	Quel âge as-tu?	Wie alt bist du?	a1_09
