id	fr	de	file_name
601	Je vais dans la salle de bain.	Ich gehe auf die Toilette.	basic_1
602	Je prends une douche et je me brosse les dents.	Ich dusche und putze mir die Zähne.	basic_1
603	Ensuite, je m’habille.	Dann ziehe ich mich an.	basic_1
604	Je choisis des vêtements simples : un jean, un t-shirt et des chaussures confortables.	Ich wähle einfache Kleidung: Jeans, ein T-Shirt und bequeme Schuhe.	basic_1
605	Après, je prends mon petit déjeuner.	Anschließend frühstücke ich.	basic_1
606	Je mange du pain avec du beurre et de la confiture.	Ich esse Brot mit Butter und Marmelade.	basic_1
607	Parfois, je mange un croissant.	Manchmal esse ich ein Croissant.	basic_1
608	Je bois du café ou du thé.	Ich trinke Kaffee oder Tee.	basic_1
609	Mon chat est toujours avec moi dans la cuisine.	Meine Katze ist immer bei mir in der Küche.	basic_1
610	Il regarde ma nourriture, mais je ne lui donne pas de croissant.	Er schaut auf mein Essen, aber ich gebe ihm kein Croissant.	basic_1
611	À 8 heures, je quitte mon appartement.	Um 8 Uhr verlasse ich meine Wohnung.	basic_1
612	Je ferme la porte et je descends les escaliers.	Ich schließe die Tür und gehe die Treppe hinunter.	basic_1
613	Dans la rue, il y a déjà beaucoup de monde.	Es sind bereits viele Menschen auf der Straße.	basic_1
614	Les gens vont au travail.	Die Menschen gehen zur Arbeit.	basic_1
615	Il y a des voitures, des bus et des vélos.	Es gibt Autos, Busse und Fahrräder.	basic_1
616	J’aime marcher le matin parce que l’air est frais.	Ich gehe gerne morgens spazieren, weil die Luft dann frisch ist.	basic_1
617	J’arrive au café à 8h15.	Ich komme um 8:15 Uhr im Café an.	basic_1
618	Je dis bonjour à mes collègues.	Ich grüße meine Kollegen.	basic_1
619	Nous préparons le café pour la journée.	Wir bereiten den Kaffee für heute zu.	basic_1
620	Nous nettoyons les tables et nous préparons les tasses.	Wir reinigen die Tische und bereiten die Tassen vor.	basic_1
621	À 8h30, le café ouvre.	Das Café öffnet um 8:30 Uhr.	basic_1
622	Je travaille avec deux collègues.	Ich arbeite mit zwei Kollegen zusammen.	basic_1
623	Ils s’appellent Paul et Sophie.	Sie heißen Paul und Sophie.	basic_1
624	Paul est grand et il a les cheveux bruns.	Paul ist groß und hat braune Haare.	basic_1
625	Il est très drôle.	Er ist sehr witzig.	basic_1
626	Il fait souvent des blagues.	Er macht oft Witze.	basic_1
627	Sophie est petite et elle a les cheveux blonds.	Sophie ist klein und hat blonde Haare.	basic_1
628	Elle est très gentille et organisée.	Sie ist sehr freundlich und organisiert.	basic_1
629	Nous travaillons bien ensemble.	Wir arbeiten gut zusammen.	basic_1
630	Pendant la matinée, il y a beaucoup de clients.	Morgens sind viele Kunden da.	basic_1
631	Je prends les commandes, je prépare les boissons et je donne les cafés aux clients.	Ich nehme Bestellungen entgegen, bereite Getränke zu und serviere Kaffee an die Kunden.	basic_1
632	Je dis toujours “bonjour” et “merci”.	Ich sage immer „Hallo“ und „Danke“.	basic_1
633	J’aime être polie avec les gens.	Ich bin gerne höflich zu anderen Menschen.	basic_1
634	Parfois, il y a des touristes.	Manchmal sind Touristen da.	basic_1
635	Ils parlent anglais ou une autre langue.	Sie sprechen Englisch oder eine andere Sprache.	basic_1
636	Je parle un peu anglais, donc je peux aider.	Ich spreche ein bisschen Englisch, daher kann ich helfen.	basic_1
637	Les touristes aiment Paris.	Touristen lieben Paris.	basic_1
638	Ils prennent beaucoup de photos.	Sie machen viele Fotos.	basic_1
639	À midi, je prends une pause.	Mittags mache ich Pause.	basic_1
640	Je suis souvent fatiguée, mais contente.	Ich bin oft müde, aber glücklich.	basic_1
641	Je mange un sandwich ou une salade.	Ich esse ein Sandwich oder einen Salat.	basic_1
642	Je bois de l’eau ou un jus d’orange.	Ich trinke Wasser oder Orangensaft.	basic_1
643	Je m’assois avec Paul et Sophie.	Ich setze mich zu Paul und Sophie.	basic_1
644	Nous parlons de notre journée, de nos amis et de nos plans pour le week-end.	Wir unterhalten uns über unseren Tag, unsere Freunde und unsere Pläne fürs Wochenende.	basic_1
645	Après la pause, je retourne au travail.	Nach der Pause gehe ich wieder an die Arbeit.	basic_1
646	L’après-midi est plus calme.	Der Nachmittag ist ruhiger.	basic_1
647	Il y a moins de clients.	Es gibt weniger Kunden.	basic_1
648	Je nettoie les tables, je range la cuisine et je prépare des gâteaux.	Ich putze die Tische, ich räume die Küche auf und ich backe Kuchen.	basic_1
649	J’aime préparer des gâteaux.	Ich backe gerne Kuchen.	basic_1
650	C’est simple et amusant.	Es ist einfach und macht Spaß.	basic_1
