id	fr	de	file_name
651	C’est simple et amusant.	Es ist einfach und macht Spaß.	basic_1
652	Je finis le travail à 17 heures.	Ich habe um 17 Uhr Feierabend.	basic_1
653	Je dis au revoir à mes collègues et je quitte le café.	Ich verabschiede mich von meinen Kollegen und verlasse das Café.	basic_1
654	Je marche jusqu’à mon appartement.	Ich gehe zu meiner Wohnung.	basic_1
655	Parfois, je passe au supermarché pour acheter de la nourriture.	Manchmal gehe ich in den Supermarkt, um Lebensmittel einzukaufen.	basic_1
656	Au supermarché, j’achète des légumes, du pain, du lait et des fruits.	Im Supermarkt kaufe ich Gemüse, Brot, Milch und Obst.	basic_1
657	J’aime les pommes, les bananes et les oranges.	Ich mag Äpfel, Bananen und Orangen.	basic_1
658	Je n’achète pas beaucoup de choses parce que mon appartement est petit.	Ich kaufe nicht viele Dinge, weil meine Wohnung klein ist.	basic_1
659	Quand je rentre à la maison, mon chat vient me voir.	Wenn ich nach Hause komme, kommt meine Katze, um mich zu begrüßen.	basic_1
660	Il est content.	Er ist glücklich.	basic_1
661	Je joue un peu avec lui.	Ich necke ihn ein bisschen.	basic_1
662	Ensuite, je me repose sur le canapé.	Dann entspanne ich mich auf dem Sofa.	basic_1
663	Le soir, je prépare le dîner.	Am Abend bereite ich das Abendessen zu.	basic_1
664	Je cuisine des choses simples.	Ich koche einfache Gerichte.	basic_1
665	Je fais des pâtes, du riz ou des légumes.	Ich koche Nudeln, Reis oder Gemüse.	basic_1
666	Parfois, je cuisine du poulet ou du poisson.	Manchmal koche ich Hähnchen oder Fisch.	basic_1
667	J’aime manger sainement.	Ich ernähre mich gerne gesund.	basic_1
668	Après le dîner, je lave la vaisselle.	Nach dem Abendessen spüle ich das Geschirr.	basic_1
669	Je n’aime pas ça, mais c’est nécessaire.	Ich mag es nicht, aber es ist notwendig.	basic_1
670	Ensuite, je regarde la télévision.	Dann schaue ich fern.	basic_1
671	J’aime les films et les séries simples.	Ich mag einfache Filme und Serien.	basic_1
672	Parfois, je lis un livre.	Manchmal lese ich ein Buch.	basic_1
673	J’aime les histoires courtes.	Ich mag Kurzgeschichten.	basic_1
674	J’écoute aussi de la musique.	Ich höre auch Musik.	basic_1
675	J’aime la musique française.	Ich mag französische Musik.	basic_1
676	Je chante parfois dans mon salon.	Ich singe manchmal in meinem Wohnzimmer.	basic_1
677	Mon chat me regarde, mais il ne chante pas avec moi.	Meine Katze schaut mich an, aber sie singt nicht mit.	basic_1
678	Le week-end, je ne travaille pas.	Ich arbeite nicht am Wochenende.	basic_1
679	Le samedi, je me lève plus tard.	Samstags stehe ich später auf.	basic_1
680	Je prends un bon petit déjeuner.	Ich frühstücke gerade ausgiebig.	basic_1
681	Je bois du café et je mange des croissants.	Ich trinke Kaffee und esse Croissants.	basic_1
682	Le samedi, je vois mes amis.	Samstags treffe ich meine Freunde.	basic_1
683	J’ai trois bons amis : Julie, Marc et Anna.	Ich habe drei gute Freunde: Julie, Marc und Anna.	basic_1
684	Nous aimons passer du temps ensemble.	Wir genießen es, Zeit miteinander zu verbringen.	basic_1
685	Nous allons au parc quand il fait beau.	Wir gehen in den Park, wenn das Wetter schön ist.	basic_1
686	Nous marchons, nous parlons et nous rions.	Wir gehen, wir unterhalten uns und wir lachen.	basic_1
687	Parfois, nous allons au cinéma.	Manchmal gehen wir ins Kino.	basic_1
688	Nous regardons un film et nous mangeons du popcorn.	Wir schauen einen Film und essen Popcorn.	basic_1
689	J’aime les films comiques et romantiques.	Ich mag Komödien und romantische Filme.	basic_1
690	Le soir, nous allons au restaurant.	Am Abend gehen wir in ein Restaurant.	basic_1
691	Nous mangeons des pizzas, des salades ou des plats français.	Wir essen Pizza, Salate oder französische Gerichte.	basic_1
692	Nous parlons beaucoup.	Wir reden viel.	basic_1
693	C’est un moment agréable.	Es ist ein angenehmer Moment.	basic_1
694	Le dimanche, je reste souvent à la maison.	Sonntags bleibe ich oft zu Hause.	basic_1
695	Je me repose.	Ich ruhe mich aus.	basic_1
696	Je nettoie mon appartement.	Ich putze meine Wohnung.	basic_1
697	Je fais le ménage : je passe l’aspirateur, je nettoie la cuisine et la salle de bain.	Ich erledige die Hausarbeit: Ich sauge Staub, putze die Küche und das Badezimmer.	basic_1
698	Je fais aussi la lessive.	Ich wasche auch die Wäsche.	basic_1
699	Je lave mes vêtements et je les sèche.	Ich wasche meine Wäsche und trockne sie.	basic_1
700	Ce n’est pas amusant, mais c’est important.	Es macht keinen Spaß, aber es ist wichtig.	basic_1
