id	fr	de	file_name
301	Vous ne devez pas faire ça.	Du darfst das nicht machen.	a1_11
302	Il est censé être là à huit heures.	Er soll um acht Uhr hier sein.	a1_11
303	C'est à elle d'écrire la lettre.	Sie soll den Brief schreiben.	a1_11
304	Je crains que non.	Ich kann leider nicht.	a1_11
305	Nous devons malheureusement partir maintenant.	Wir müssen jetzt leider gehen.	a1_11
306	Puis-je vous poser une question ?	Darf ich Sie etwas fragen?	a1_11
307	Il n'en a pas envie, mais il doit le faire.	Er will nicht, aber er muss.	a1_11
308	Pourriez-vous répéter, s'il vous plaît?	Können Sie das wiederholen, bitte?	a1_11
309	Je me promène dans le parc.	Ich gehe durch den Park.	a1_12
310	Il traverse la ville à pied.	Er läuft durch die Stadt.	a1_12
311	Nous traversons le tunnel en voiture.	Wir fahren durch den Tunnel.	a1_12
312	Ceci est un cadeau pour vous.	Das ist ein Geschenk für dich.	a1_12
313	J'achète quelque chose pour ma mère.	Ich kaufe etwas für meine Mutter.	a1_12
314	Il travaille pour une grande entreprise.	Er arbeitet für eine große Firma.	a1_12
315	Ce cadeau est pour le professeur.	Das Geschenk ist für die Lehrerin.	a1_12
316	J'achète ce livre pour mon frère.	Ich kaufe das Buch für meinen Bruder.	a1_12
317	Je suis contre le bruit.	Ich bin gegen Lärm.	a1_12
318	Il percute un mur.	Er fährt gegen die Wand.	a1_12
319	Nous nous opposons à cette décision.	Wir sind gegen diese Entscheidung.	a1_12
320	Je suis triste sans toi.	Ohne dich bin ich traurig.	a1_12
321	Il sort sans son manteau.	Er geht ohne seinen Mantel raus.	a1_12
322	Elle voyage sans bagages.	Sie reist ohne Gepäck.	a1_12
323	Nous ne partirons pas sans vous.	Wir gehen nicht ohne dich.	a1_12
324	La voiture tourne au coin de la rue.	Das Auto fährt um die Ecke.	a1_12
325	Nous sommes assis autour de la table.	Wir sitzen um den Tisch.	a1_12
326	Il fait le tour de la maison.	Er läuft um das Haus.	a1_12
327	Les enfants jouent autour de la fontaine.	Die Kinder spielen um den Brunnen.	a1_12
328	Elle court autour du lac.	Sie läuft um den See.	a1_12
329	Il arrivera à quatre heures.	Er kommt um vier Uhr.	a1_12
330	À quelle heure commence le film ?	Um wie viel Uhr beginnt der Film?	a1_12
331	Je suis contre cette idée.	Ich bin gegen diese Idee.	a1_12
332	Nous traversons l'Allemagne en voiture.	Wir fahren durch Deutschland.	a1_12
333	Elle franchit la porte.	Sie geht durch die Tür.	a1_12
334	Il achète des fleurs pour sa femme.	Er kauft Blumen für seine Frau.	a1_12
335	On ne peut pas vivre sans eau.	Ohne Wasser kann man nicht leben.	a1_12
336	Je prends le bus.	Ich fahre mit dem Bus.	a1_13
337	Vous venez en train.	Du kommst mit dem Zug.	a1_13
338	Il y va avec sa petite amie.	Er geht mit seiner Freundin.	a1_13
339	Nous y allons en voiture.	Wir fahren mit dem Auto.	a1_13
340	Tu viens avec moi ?	Kommst du mit mir?	a1_13
341	Après avoir mangé, je vais me promener.	Nach dem Essen gehe ich spazieren.	a1_13
342	Elle va à Berlin.	Sie fährt nach Berlin.	a1_13
343	Il rentre à la maison.	Er kommt nach Hause.	a1_13
344	Nous allons faire les courses après l'école.	Wir gehen nach der Schule einkaufen.	a1_13
345	Tu vas en Allemagne ?	Fährst du nach Deutschland?	a1_13
346	Je vis chez mes parents.	Ich wohne bei meinen Eltern.	a1_13
347	Il travaille pour une grande entreprise.	Er arbeitet bei einer großen Firma.	a1_13
348	Le café est situé près de la gare.	Das Café ist beim Bahnhof.	a1_13
349	Elle dort chez une amie ce soir.	Sie schläft heute bei ihrer Freundin.	a1_13
350	Ça vient de ma mère.	Das kommt von meiner Mutter.	a1_13
