id	fr	de	file_name
401	L'enfant est fatigué.	Das Kind ist müde.	a1_15
402	Le nom de cet homme de grande taille est Pierre.	Der große Mann heißt Peter.	a1_15
403	Cette magnifique ville s'appelle Heidelberg.	Die schöne Stadt heißt Heidelberg.	a1_15
404	La vieille maison est située au bord du lac.	Das alte Haus steht am See.	a1_15
405	Un petit chien joue dans le jardin.	Ein kleiner Hund spielt im Garten.	a1_15
406	Une jeune femme lit un livre.	Eine junge Frau liest ein Buch.	a1_15
407	Un livre intéressant est posé sur la table.	Ein interessantes Buch liegt auf dem Tisch.	a1_15
408	Le nouveau professeur est très gentil.	Der neue Lehrer ist sehr nett.	a1_15
409	La vieille dame marche lentement.	Die alte Dame geht langsam.	a1_15
410	La voiture rouge est rapide.	Das rote Auto ist schnell.	a1_15
411	Une journée froide commence.	Ein kalter Tag beginnt.	a1_15
412	Je bois du thé chaud.	Ich trinke heißen Tee.	a1_15
413	Il achète du pain frais.	Er kauft frisches Brot.	a1_15
414	Elle lit un bon livre.	Sie liest ein gutes Buch.	a1_15
415	Nous regardons un beau film.	Wir sehen einen schönen Film.	a1_15
416	C'est encore loin.	Das ist ein langer Weg.	a1_15
417	Elle porte une robe bleue.	Sie trägt ein blaues Kleid.	a1_15
418	Le petit enfant dort.	Das kleine Kind schläft.	a1_15
419	Il a les cheveux courts et les yeux bleus.	Er hat kurze Haare und blaue Augen.	a1_15
420	Il y a un parc dans ma ville.	Es gibt einen Park in meiner Stadt.	a1_16
421	Il y a beaucoup de cafés ici.	Es gibt viele Cafés hier.	a1_16
422	Il n'y a pas d'hôtel dans ce village.	Es gibt kein Hotel in diesem Dorf.	a1_16
423	Il y a trois écoles dans cette ville.	Es gibt drei Schulen in dieser Stadt.	a1_16
424	Y a-t-il un restaurant ici ?	Gibt es hier ein Restaurant?	a1_16
425	J'apprends l'allemand et l'anglais.	Ich lerne Deutsch und Englisch.	a1_16
426	Il cuisine et elle fait le ménage.	Er kocht und sie putzt.	a1_16
427	Nous mangeons et buvons ensemble.	Wir essen und trinken zusammen.	a1_16
428	Je suis fatigué(e), mais je continue d'apprendre.	Ich bin müde, aber ich lerne weiter.	a1_16
429	Il a faim, mais il ne mange pas.	Er hat Hunger, aber er isst nicht.	a1_16
430	Elle est jeune, mais elle est très intelligente.	Sie ist jung, aber sie ist sehr klug.	a1_16
431	Vous venez avec nous ou vous restez ici ?	Kommst du mit oder bleibst du hier?	a1_16
432	Buvez-vous du café ou du thé ?	Trinken Sie Kaffee oder Tee?	a1_16
433	Vous voyagez en bus ou en train ?	Fährst du mit dem Bus oder mit dem Zug?	a1_16
434	J'aime les chats, mais je n'en ai pas.	Ich mag Katzen, aber ich habe keine.	a1_16
435	Il ne vient pas parce qu'il est malade.	Er kommt nicht, denn er ist krank.	a1_16
436	Je reste à la maison parce qu'il pleut.	Ich bleibe zu Hause, denn es regnet.	a1_16
437	Elle étudie beaucoup parce qu'elle a un examen.	Sie lernt viel, denn sie hat eine Prüfung.	a1_16
438	Il y a ici une gare et un aéroport.	Es gibt hier einen Bahnhof und einen Flughafen.	a1_16
439	Je bois du café, mais pas de bière.	Ich trinke Kaffee, aber kein Bier.	a1_16
440	Il n'y a pas école aujourd'hui.	Es gibt heute keine Schule.	a1_16
441	Il lit et elle écrit.	Er liest und sie schreibt.	a1_16
442	Il existe de nombreuses possibilités.	Es gibt viele Möglichkeiten.	a1_16
443	Soit je pars, soit je reste – je ne sais pas encore.	Ich gehe, oder ich bleibe - ich weiß noch nicht.	a1_16
444	Je suis fatiguée, mais heureuse.	Ich bin müde, aber glücklich.	a1_16
445	Il y a du pain frais à la boulangerie.	Es gibt frisches Brot beim Bäcker.	a1_16
446	Il n'a pas d'argent, mais il est content.	Er hat kein Geld, aber er ist zufrieden.	a1_16
447	Y a t-il une pharmacie ici?	Gibt es hier eine Apotheke?	a1_16
448	J'ai vingt et un ans.	Ich bin einundzwanzig Jahre alt.	a1_17
449	Il a deux enfants.	Er hat zwei Kinder.	a1_17
450	Il y a cinq pommes sur la table.	Es gibt fünf Äpfel auf dem Tisch.	a1_17
